Male,91288280,281
female,60505322,112
Male,37512603,234
Male,24899258,135
Male,84083184,208
Male,78385920,113
Male,57231818,172
female,90627991,40
female,22028354,261
female,19263433,216
female,17178749,201
female,11588468,210
Male,98825600,242
Male,71582570,142
Male,81447604,290
female,82950542,270
female,49113923,203
female,29219237,141
female,97707475,154
female,40939511,181
Male,97255425,166
Male,42366374,55
Male,18439270,208
Male,26585832,218
female,33361428,249
female,41393046,97
female,45037500,196
female,18588447,209
female,46029134,216
female,38989106,102
female,15556322,209
female,50154056,95
Male,91512187,69
female,52207761,78
female,76532035,24
female,94827217,136
female,53229676,245
female,72711445,104
female,98753152,258
female,19684261,91
female,74255159,288
female,86078294,213
female,31167050,114
female,65119284,48
female,20539602,245
Male,61099561,146
Male,42236619,274
Male,95610549,251
female,96086648,191
Male,25365896,213
Male,17586924,177
female,81332932,181
female,58247797,205
female,32193761,145
female,46345420,212
female,27114609,49
female,81301758,33
female,23304926,110
female,34381780,89
female,32014242,76
male,63474607,204
female,36372608,92
female,19981313,229
female,26492032,189
female,44145006,254
male,36574896,108
male,30805006,51
male,92286571,166
male,91667646,233
male,16507155,279
male,87980246,247
male,78673332,296
female,71776596,188
female,72003169,33
female,96059367,267
female,34536980,83
female,78207167,131
female,35956020,33
female,76345467,21
female,51747352,107
female,92204303,120
male,93318713,187
male,37816220,36
male,88719938,290
female,32739839,103
female,49428430,250
female,76795090,59
female,32169411,10
female,52440036,248
female,97528903,90
female,94372337,222
female,58029491,214
female,82196589,77
female,74377983,34
female,12816793,207
female,95849846,252
male,37915477,280
male,76926523,113
male,72130895,149
male,75851238,60
male,64487738,268
male,80241250,200
male,12913070,52
male,75134496,265
male,23942770,243
male,99987265,160
male,63804264,85
male,71407083,39
male,65086990,162
male,99300050,179
female,13425935,104
female,55053623,110
female,36941589,98
female,36863520,148
female,88281115,126
female,29650495,206
female,81441647,15
female,75850884,47
female,36303144,79
male,54551849,134
male,12422775,196
male,59918525,134
male,54862926,31
male,26402960,10
male,66299948,42
female,70009118,24
female,28698603,298
female,92132513,113
female,51618373,58
female,76580763,105
female,52414703,171
female,94443487,160
female,82575314,73
female,66782538,146
male,61548908,236
male,81164385,156
female,53780608,228
female,55451158,262
female,77406380,138
female,41940437,131
female,64881225,114
female,38038840,73
female,62994708,166
female,24908856,245
female,41353366,174
female,45355254,121
male,64990133,231
male,52170203,148
male,60550819,153
male,34196175,161
male,94848812,53
female,88782650,200
female,88296668,24
female,32847836,21
female,62451534,100
female,63396796,191
female,92901431,256
female,87709568,52
female,76571631,274
female,96533445,248
female,67017687,211
female,74342008,253
female,29038135,221
female,49956437,94
female,66974481,101
female,33761030,147
male,42322955,285
male,82082722,27
male,33689764,49
male,38802132,42
male,95369920,266
male,37347125,228
male,32337882,278
male,80583155,20
male,66575346,182
male,81987670,175
male,52688026,37
male,45167417,236
female,92865887,288
female,12718873,282
female,61740613,183
female,51278567,188
female,50254329,229
female,15609516,193
female,25916338,101
female,16449101,32
female,93244719,35
female,96447827,104
female,25838579,143
female,53658754,255
female,21845347,147
female,56745655,92
female,71249140,212
female,35410711,75
female,58971054,194
male,90137206,54
male,66367695,179
male,50262571,34
male,66561187,245
male,30497466,135
